grid_active_power,wind_speed
380.0477905,5.31133604
453.7691956,5.672166824
306.3765869,5.216036797
419.6459045,5.659674168
380.6506958,5.577940941
402.3919983,5.604052067
447.6057129,5.793007851
387.2421875,5.306049824
463.6512146,5.584629059
439.725708,5.523228168
498.1817017,5.724115849
526.8162231,5.934198856
710.5872803,6.547413826
655.1942749,6.199746132
754.7625122,6.505383015
790.1732788,6.634116173
742.9852905,6.378912926
748.2296143,6.446652889
736.6478271,6.415082932
787.2462158,6.437530994
722.8640747,6.220024109
935.0333862,6.89802599
1220.609009,7.60971117
1053.771973,7.288355827
1493.807983,7.943101883
1724.488037,8.376161575
1636.935059,8.23695755
1385.488037,7.879590988
1098.932007,7.101376057
1021.458008,6.955307007
1164.892944,7.098298073
1073.332031,6.953630924
1165.307983,7.249577999
1177.98999,7.294691086
1170.536011,7.376369953
1145.536011,7.448554039
1114.026978,7.23925209
1153.185059,7.329211235
1125.331055,7.139705181
1228.732056,7.474228859
1021.79303,7.033174038
957.3781738,6.886455059
909.8878174,6.887821198
1000.953979,7.216432095
1024.478027,7.068597794
1009.533997,6.938295841
899.492981,6.536687851
725.1101074,6.180624962
585.2593994,5.816825867
443.9139099,5.450150967
565.2537842,5.81814909
644.0377808,6.130272865
712.0588989,6.347077847
737.3947754,6.347436905
725.868103,6.194368839
408.997406,4.977198124
628.4368286,5.959111214
716.1005859,6.21137619
711.4956055,6.111453056
838.1519165,6.456322193
881.0620728,6.666657925
663.703125,6.16287899
578.2615967,6.013167858
465.6200867,5.561203003
311.0509033,4.960731983
230.0554962,4.60387516
233.9906006,4.554533958
175.5921936,4.26362896
118.1331024,3.894139051
142.2024994,4.038761139
212.5661926,4.505650997
222.6100006,4.543397903
194.1811981,4.323760986
82.64074707,3.634437084
75.8952179,3.705512047
41.94723892,3.253968
118.5345993,3.775136948
250.7559052,4.693500996
346.8644104,5.002939224
416.4179077,5.364749908
331.9414978,5.016181946
583.4799194,5.970407963
776.5526733,6.655520916
752.7263794,6.600903988
589.0731201,5.981378078
1109.128052,7.424593925
1482.459961,8.186451912
1523.430054,8.27493
1572.170044,8.449202538
1698.939941,8.575974464
1616.845947,8.282259941
1796.823975,8.734552383
1885.860962,8.764103889
2327.511963,9.669431686
2499.162109,10.14109039
2820.512939,10.77241993
